Nom,Organisation,Type de données,Lien officiel
SRAM / SRACQ / SRASL,Services régionaux d'admission collégiaux (QC),Données d'admission collégiale par programme,https://www.sram.qc.ca/
IPEDS / Education Data (US),NCES / US Department of Education,"Statistiques postsecondaires US: inscriptions, diplomation, finances",https://nces.ed.gov/ipeds/
US College Scorecard API,US Department of Education,"Données par institution: coûts, diplomation, revenus après études",https://collegescorecard.ed.gov/
Lésions professionnelles – CNESST,CNESST via Données Québec,"Lésions professionnelles, accidents, maladies, données SST",https://www.donneesquebec.ca/recherche/dataset/lesions-professionnelles
ILOSTAT (incluant modules OSH),Organisation internationale du travail (OIT),"Indicateurs emploi, chômage, salaires, accidents du travail (monde)",https://ilostat.ilo.org/
PubMed / PMC – E-utilities,NLM / NIH,"Littérature biomédicale, santé au travail, risques psychosociaux",https://www.ncbi.nlm.nih.gov/home/develop/api/
Eurostat – API,Eurostat / Commission européenne,"LFS européenne, chômage par éducation, postes vacants, salaires",https://ec.europa.eu/eurostat/
OECD Statistics (API),OCDE,"Éducation (EAG), compétences, salaires, emploi par pays OCDE",https://stats.oecd.org/
World Bank Indicators API,Banque mondiale,"Indicateurs macro: emploi, éducation, pauvreté, PIB",https://data.worldbank.org/
US BLS Public Data API,Bureau of Labor Statistics (US),"Emploi, salaires (OEWS, CES), inflation, JOLTS (job openings/flows)",https://www.bls.gov/developers/
US Census LEHD datasets,US Census Bureau,"Données employeurs-employés liées (flux, origine-destination, démographie)",https://lehd.ces.census.gov/
UNESCO Institute for Statistics (UIS API),UNESCO,"Indicateurs éducation mondiaux: scolarisation, diplomation, dépenses",https://data.uis.unesco.org/
LMI for All (UK),UK Department for Education,API de données LMI consolidées pour le Royaume-Uni,https://www.lmiforall.org.uk/
Vicinity Jobs,Vicinity Jobs,"Offres agrégées Canada, tendances, tableau de bord, API postings",https://vicinityjobs.net/
Lightcast (Emsi) – Job Postings API & Datasets,Lightcast,"Base massive offres dédupliquées, compétences extraites, taxonomie",https://lightcast.io/
Adzuna Job Search API,Adzuna,"Offres d'emploi agrégées, salaires estimés, localisation",https://developer.adzuna.com/
Jooble Job Search API,Jooble,Agrégateur d'offres d'emploi multi-pays,https://jooble.org/api/about
Techmap Job Data Feeds,Techmap,"Flux d'offres d'emploi structurées, scraping organisé",https://jobdatafeeds.com/
LinkedIn Job Posting API,LinkedIn / Microsoft,"Offres d'emploi, parcours carrières agrégés",https://www.linkedin.com/
Indeed (Partner Solutions),Indeed / Recruit Holdings,"Offres d'emploi, données agrégées pour partenaires",https://www.indeed.com/
Glassdoor (API & données salaires),Glassdoor / Indeed,"Avis employeurs, données salariales, offres",https://www.glassdoor.com/
PayScale Data API,PayScale,"Enquêtes salariales, compensation par poste/compétence/région",https://www.payscale.com/
SmartRecruiters Posting API,SmartRecruiters,Offres publiques d'entreprises (ATS),https://dev.smartrecruiters.com/
Greenhouse Recruiting APIs,Greenhouse Software,"ATS: offres, candidats, pipelines de recrutement",https://developers.greenhouse.io/
Lever APIs,Lever,"ATS: offres, données de recrutement",https://hire.lever.co/developer/documentation
Workable API,Workable,"ATS: offres, candidats",https://workable.readme.io/
Ashby APIs,Ashby,"ATS moderne: offres, candidats, entretiens, formulaires",https://developers.ashbyhq.com/
BambooHR API (recrutement),BambooHR,"ATS + SIRH: recrutement, employés",https://documentation.bamboohr.com/docs
OpenAlex,OurResearch,"Graphe de littérature académique: auteurs, institutions, concepts, citations",https://openalex.org/
Semantic Scholar API & Open Data,Allen Institute for AI,"Métadonnées académiques, embeddings, réseaux d'auteurs",https://www.semanticscholar.org/product/api
arXiv API,arXiv.org / Cornell University,"Prépublications: IA, économie, éducation, CS, stats",https://arxiv.org/help/api/
SSRN Feeds & Data,SSRN / Elsevier,"Preprints: économie du travail, finance, orientation",https://www.ssrn.com/
JSTOR – Data for Research,JSTOR / ITHAKA,Corpus texte académique pour analyse / text mining,https://www.jstor.org/dfr/
Données scientifiques – re3data (panorama des dépôts),re3data.org,Méta-catalogue de dépôts de données de recherche,https://www.re3data.org/
JobSkape / SkillSkape (dataset synthétique),Auteurs académiques,Dataset synthétique de postings pour entraînement NLP,Articles associés
Lightcast Labour Market Concentration dataset,Lightcast / auteurs,Snapshot recherche: postes par firme/occupation (2007-2021),Article de données
"Divers jeux de postings web-scrapés (éducation, tourisme, etc.)",Auteurs académiques divers,Corpus de job postings sectoriels pour tests NLP,Publications associées
Offres d'emploi – Ville de Laval,Ville de Laval via Données Québec,Offres d'emploi municipales,https://www.donneesquebec.ca/
ELMLP (Education & Labour Market Longitudinal Platform),Statistique Canada,Micro-données longitudinales liant parcours éducatifs et résultats emploi/revenus,https://www150.statcan.gc.ca/n1/pub/37-20-0001/372000012024002-eng.htm
LFS longitudinal (EPA en panel),Statistique Canada,Données EPA exploitées en panel: transitions emploi-chômage-inactivité,https://www.statcan.gc.ca/
CEEDD (Canadian Employer-Employee Dynamics Database),Statistique Canada,"Base couplée employeurs-employés (fisc, entreprises, emploi)",https://www.statcan.gc.ca/
ELIA (Enquête longitudinale et internationale des adultes),Statistique Canada,"Panel: éducation, emploi, compétences, revenu, contexte familial",https://www.statcan.gc.ca/
END (Enquête nationale auprès des diplômés),Statistique Canada,"Parcours d'insertion des diplômés postsecondaires, salaires initiaux",https://www.statcan.gc.ca/
Eurostat LFS longitudinal (lfsi_long),Eurostat,Transitions trimestrielles emploi/chômage/inactivité (LFS panelisée),https://ec.europa.eu/eurostat/cache/metadata/en/lfsi_long_esms.htm
JobHop (trajectoires ESCO à partir de CV),Équipe académique (Flandre),"2,3M expériences de carrière extraites de 391k CV, mappées ESCO",https://arxiv.org/html/2505.07653v1
Skill-driven Recommendations for Job Transition Pathways,Auteurs académiques (PMC),Dataset combinant job ads + enquête ménages pour prédire transitions (~76% accuracy),https://pmc.ncbi.nlm.nih.gov/articles/PMC8336878/
CTOT Dashboard (Career Trajectories and Occupational Transitions),US Department of Labor,Données agrégées trajectoires et transitions occupationnelles US,https://www.dol.gov/agencies/oasp/evaluation/resources/career-trajectories-and-occupational-transitions-dashboard
LEO (Longitudinal Education Outcomes) – UK,ADR UK / Gouvernement UK,Couplage éducation-revenus/emploi à long terme,https://www.adruk.org/
SHARE Job Episodes Panel (JEP),Consortium SHARE / institutions européennes,Historiques d'emploi détaillés pour adultes 50+,https://doi.org/10.6103/SHARE.jep.100
PSID – Job History Files,University of Michigan,"Panel longitudinal revenu, emploi, famille (US)",https://psidonline.isr.umich.edu/
NLSCY / ELNEJ (Enquête longitudinale nationale sur les enfants et les jeunes),Statistique Canada,"Panel enfants/jeunes: trajectoires scolaires, premières expériences travail",https://www.statcan.gc.ca/
Étude SALVEO,UQAM et partenaires,"Données longitudinales entreprise-travailleurs: santé mentale, conditions de travail",https://pmc.ncbi.nlm.nih.gov/articles/PMC6972278/
STREAM cohort (Pays-Bas),TNO / Pays-Bas,"Cohorte longitudinale 45-64 ans: emploi, santé, motivation, transitions",http://publications.tno.nl/
BLS JOLTS (Job Openings and Labor Turnover Survey),Bureau of Labor Statistics (US),"Flux de postes vacants, embauches, séparations, démissions",https://www.bls.gov/jlt/
Eurostat Job Vacancy Statistics (JVS),Eurostat,Statistiques officielles postes vacants UE par secteur/pays,https://ec.europa.eu/eurostat/
Mobilité interprovinciale (Table 14-10-0431),Statistique Canada,Flux de travailleurs (entrées/sorties par province),https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=1410043101
Dépôt des conventions collectives,Ministère du Travail (Québec),"Texte des conventions, échelles salariales, avantages",https://www.travail.gouv.qc.ca/
Base de données sur l'immigration (IMDB),Statistique Canada / IRCC,"Données longitudinales immigrants (fisc, établissement, emploi)",https://www.statcan.gc.ca/
Données de l'Office des professions (OPQ),Office des professions du Québec,Registre des membres et titres réservés,https://www.opq.gouv.qc.ca/
Travail via une plateforme numérique,Statistique Canada,Données sur la gig economy et travailleurs à la demande,https://www.statcan.gc.ca/
Enquête nationale sur l'apprentissage (EAFC),Statistique Canada,"Formation continue, perfectionnement, apprentissage",https://www.statcan.gc.ca/
IPIP (International Personality Item Pool),Oregon Research Institute,"Items et échelles psychométriques (Big Five, etc.)",https://ipip.ori.org/
O*NET Interest Profiler (RIASEC),US DOL / O*NET Resource Center,Tests d'intérêts vocationnels (modèle de Holland),https://www.onetcenter.org/IP.html
CRIEVAT,Université Laval,Recherche sur les parcours d'orientation et la persévérance,https://crievat.fse.ulaval.ca/
CAPRES (Consortium sur la réussite),CAPRES,Données sur la réussite et persévérance au postsecondaire,https://www.capres.ca/
Buros Center for Testing,University of Nebraska-Lincoln,Référentiel de validité des tests psychométriques,https://buros.org/
SIOP (Society for Industrial and Organizational Psychology),SIOP,Recherches sur l'adéquation personne-organisation,https://www.siop.org/
myBlueprint / Xello,myBlueprint (Canada),Intentions de carrière et planification des jeunes,https://www.myblueprint.ca/
Mental Health at Work (NIOSH),CDC / NIOSH,"Indicateurs de stress, bien-être et santé mentale au travail",https://www.cdc.gov/niosh/
Longitudinal Worker File (LWF),Statistique Canada,"Fichier longitudinal employeurs-employés basé sur T1, T4, relevés d'emploi et LEAP",https://www.statcan.gc.ca/en/microdata/data-centres/data/lwf
Longitudinal Administrative Databank (LAD),Statistique Canada,"Panel de 20% de l'échantillon T1FF, revenu des particuliers et familles, suivi longitudinal",https://www.statcan.gc.ca/en/microdata/lad
T1 Family File (T1FF) – tableaux statistiques,Statistique Canada,"Fichier annuel dérivé des déclarations T1: revenu par région, type de famille, source de revenu",https://www150.statcan.gc.ca/n1/en/catalogue/72-212-X
Données fiscales des particuliers (Revenu Québec via CADRISQ/ISQ),ISQ / Revenu Québec,"Données administratives fiscales individuelles: revenus, crédits, employeur, secteur",https://statistique.quebec.ca/services-recherche/donnees/administratives/revn/rq/particuliers
CEWIL Canada – National WIL Database,CEWIL Canada,"Base nationale sur les programmes et volumes de WIL (co-op, stages) dans >50 établissements",https://cewilcanada.ca/
Student Work Placement Program (SWPP) – Données administratives,EDSC,"Fichiers administratifs et enquêtes sur stages subventionnés (>3000 employeurs, dizaines de milliers de placements)",https://www.canada.ca/en/employment-social-development/corporate/reports/evaluations/student-work-placement.html
LFS – Indicateur satisfaction au travail (Hub Qualité de vie),Statistique Canada,Indicateurs mensuels satisfaction au travail (échelle 0-10) via modules LMI de l'EPA,https://www.statcan.gc.ca/hub-carrefour/quality-life-qualite-vie/prosperity-prosperite/job-satisfaction-travail-eng.htm
Survey on Quality of Employment (SQE),Statistique Canada,"Enquête détaillée qualité de l'emploi: statut, sécurité, horaires, avantages, formation",https://www.statcan.gc.ca/en/survey/household/5313
General Social Survey – Canadiens au travail et à la maison (GSS),Statistique Canada,"Enquête sociale générale: satisfaction au travail, conditions, conciliation travail-vie",https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=assembleDESurv&Id=302914
ISSP – Work Orientations (module Canada),ISSP / Univ. Waterloo,"Enquête internationale harmonisée sur attitudes au travail (satisfaction, engagement, valeurs)",https://uwspace.uwaterloo.ca/items/c02b6609-e22b-426b-ab65-979b0abf47f2
Global Skills Taxonomy & Future of Jobs (WEF),World Economic Forum,"Taxonomie globale compétences + enquête Future of Jobs (prévisions adoption techno, compétences par secteur)",https://www.weforum.org/publications/the-future-of-jobs-report-2023
MOST – Mapping Opportunities and Skills in Transition,Future Skills Centre / Conference Board Canada,Projections emploi-compétences par occupation et région Canada,https://edata.conferenceboard.ca/futureskillscentre/home
Hiring Green: Demand for Green Skills in Canada,Conference Board Canada / FSC,Analyse quantitative de 35 compétences vertes dans offres d'emploi canadiennes (via Vicinity Jobs),https://fsc-ccf.ca/research/hiring-green-an-analysis-of-the-demand-for-green-skills-in-canada/
Employment in 2030: Skills for the Future (Brookfield Institute),Brookfield Institute for Innovation + Entrepreneurship,Prévisions évolution emploi par occupation et compétences futures à horizon 2030 Canada,https://brookfieldinstitute.ca/employment-in-2030-skills-for-the-future-of-canadas-labour-market/
LFS – Tableaux supplémentaires « working from home »,Statistique Canada,"Indicateurs mensuels travail à domicile, heures, réduction d'heures (ajoutés à l'EPA depuis avril 2020)",https://communitydata.ca/data/labour-force-survey-supplemental-tables-monthly
"Telework, Time Use and Well-Being (Time Use Survey 2022)",Statistique Canada,"Micro-données emploi du temps 2022 avec variables télétravail, bien-être, temps trajet",https://publications.gc.ca/site/eng/9.937689/publication.html
Telework and Productivity (OCDE Global Forum),OCDE,Enquête internationale managers/travailleurs sur impact télétravail productivité et bien-être (25 pays),https://www.oecd.org/en/topics/sub-issues/human-capital-and-educational-policies/Telework-and-productivity.html
Indicateurs télétravail Eurostat,Eurostat,Séries annuelles part des salariés travaillant à domicile par pays et région NUTS2,https://ec.europa.eu/eurostat/web/products-eurostat-news/-/ddn-20221108-1
Portail micro-certifications eCampusOntario,eCampusOntario,"Répertoire ~2000 micro-certifications ontariennes (titre, établissement, durée, format, secteur)",https://micro-credential.ecampusontario.eco2.yulcom.ca
Global Open Badges Ecosystem,Divers (spécification Open Badges / 1EdTech),"Badges numériques vérifiables avec métadonnées (compétences, émetteur, critères, preuves)",https://www.opengroup.org/certifications/openbadges
MATTR / Interac – Digital Credentials Canada,MATTR Global / Interac Corp.,Plateforme d'émission et vérification de justificatifs numériques (verifiable credentials),https://www.interac.ca/en/content/news/interac-and-mattr-partner-to-scale-digital-credential-capabilities-for-canadians/
UNESCO – Cadre qualité micro-credentials,UNESCO,Cadre conceptuel et exemples reconnaissance micro-credentials au niveau international,https://www.unesco.org/en/articles/micro-credentials-important-part-bigger-ecosystem
Indigenous Peoples Survey (IPS) – micro-données,Statistique Canada,"Enquête post-censitaire: conditions sociales/économiques Premières Nations hors réserve, Métis, Inuits",https://www.statcan.gc.ca/en/survey/household/3250
"FNREEES (First Nations Regional Early Childhood, Education and Employment Survey)",FNIGC,"Enquête petite enfance, éducation, emploi dans communautés Premières Nations (sur réserve et nord)",https://fnigc.ca/what-we-do/research-and-information/our-surveys/
FNLED (First Nations Labour and Employment Development Survey),FNIGC,"Enquête nationale emploi, compétences, marché du travail dans communautés Premières Nations",https://fnigc.ca/what-we-do/research-and-information/our-surveys/
FN LMI Initiative,Assemblée des Premières Nations (APN) / EDSC,"Collecte d'indicateurs LMI au niveau communautaire (emploi, formation, entreprises locales)",https://afn.bynder.com/m/13e010cba2059f4d/original/FN-Labour-Market-Information-Initiative-Business-Case.pdf
Registre des entreprises du Québec (REQ) – jeu de données,Registraire des entreprises du Québec,"Base administrative entreprises QC: NEQ, forme juridique, statut, date constitution, secteurs, adresses",https://www.donneesquebec.ca/recherche/dataset/registre-des-entreprises
Entrepreneurship Indicators Database (EID),Statistique Canada,"Indicateurs dynamique entrepreneuriale: naissances/décès entreprises, emplois, survie, gazelles",https://www150.statcan.gc.ca/n1/daily-quotidien/241106/dq241106c-eng.htm
Indice entrepreneurial québécois (IEQ),Réseau Mentorat / La Sphère-HEC Montréal,"Enquête annuelle intentions entrepreneuriales, création, fermeture, profils d'entrepreneurs QC",https://indiceentrepreneurialqc.com
Global Entrepreneurship Monitor (GEM) – APS Canada,GEM / ICPSR,"Enquête harmonisée activité entrepreneuriale (TEA), intentions, attitudes, avec échantillon canadien",https://www.gemconsortium.org/country-profile/49
"Open Data – Trois Conseils (CRSH, CRSNG, IRSC)",CRSH / CRSNG / IRSC (via open.canada.ca),"Paiements de bourses et subventions de recherche par année fiscale: récipiendaire, institution, discipline, montant, programme",https://open.canada.ca/data/en/dataset?organization=sshrc-crsh
Programme canadien de prêts et bourses aux étudiants (CSFA),EDSC / Gouvernement du Canada,"Règles d'admissibilité, critères, montants des prêts et bourses fédéraux (Canada Student Grants and Loans)",https://www.canada.ca/en/services/benefits/education/student-aid/grants-loans.html
Aide financière aux études (AFE) – Québec,Ministère de l'Éducation du Québec,"Programme officiel de prêts et bourses QC: logique de calcul, critères d'admissibilité, montants par programme/statut/revenu",https://www.quebec.ca/education/aide-financiere-aux-etudes
Portail Emploi Québec – Contenus métiers et orientation (quebec.ca),Gouvernement du Québec (MTESS),"Contenu éditorial: fiches métiers vulgarisées, conseils orientation, choix de carrière, programmes de formation, démarches emploi",https://www.quebec.ca/emploi/informer-metier-profession
Repères (GRICS),GRICS / Ministère de l'Éducation du Québec,"Base d'information scolaire et professionnelle: 1200+ professions, 7000+ programmes (DEP/DEC/BAC), 1400+ établissements, statistiques placement, perspectives emploi, IVIP",https://reperes.qc.ca/
Inforoute FPT,Compétences Québec / MEES,"Répertoire complet des programmes de formation professionnelle (DEP, ASP, AEP) et technique (DEC) au Québec: contenus, conditions d'admission, établissements, horaires",https://www.inforoutefpt.org/
Academos,Academos (OBNL),"Plateforme de cybermentorat: témoignages de professionnels par métier, exploration de carrières, contenu d'orientation pour jeunes",https://academos.qc.ca/
Tout pour réussir,Tout pour réussir (OBNL),"Promotion des métiers et professions en formation professionnelle et technique: fiches métiers, vidéos, témoignages, quiz d'orientation",https://toutpourreussir.com/
Employment2030 – NOC↔O*NET Crosswalk (Dais/TMU GitHub),Dais (Toronto Metropolitan University),"Crosswalk NOC↔O*NET + projections de compétences par occupation à horizon 2030, dérivées de job postings et O*NET",https://github.com/thedaisTMU/Employment2030
ESCO↔O*NET Crosswalk (dataset officiel UE),Commission européenne / ESCO,"Table de correspondance officielle entre occupations ESCO et O*NET-SOC, avec scores de similarité",https://esco.ec.europa.eu/en/about-esco/data-science-and-esco/crosswalk-between-esco-and-onet
Task content of occupations based on ESCO (Zenodo),Auteurs académiques (via Zenodo),"Profils de tâches par occupation ESCO: fréquence, intensité, catégorisation des tâches",https://zenodo.org/records/12699781
Observatoire SST / IRSST,IRSST (Institut de recherche Robert-Sauvé en santé et sécurité du travail),"Indicateurs statistiques SST: taux de lésions, fréquence, gravité par secteur/profession au Québec",https://observatoiresst.irsst.qc.ca/
OECD Skills for Jobs Database,OCDE,"Indicateurs de pénurie/excès de compétences par occupation (ISCO) et type de compétence, par pays",https://www.oecdskillsforjobsdatabase.org/
SIEP – Indicateurs persévérance et diplomation postsecondaire (StatCan 37-10),Statistique Canada (via PLEMT),"Taux de persévérance, diplomation et délai moyen par titre scolaire, domaine CIP, sexe, groupe d'âge, province (2011-2023)",https://www150.statcan.gc.ca/n1/pub/37-20-0001/372000012024001-fra.htm
Cedefop Skills Forecast (full dataset),Cedefop (Centre européen pour le développement de la formation professionnelle),"Projections d'emploi jusqu'en 2035 par secteur, groupe d'occupation ISCO et niveau de qualification ISCED",https://www.cedefop.europa.eu/en/tools/skills-forecast
PISA Database (micro-données OCDE),OCDE / PISA,"Données élèves, écoles, enseignants: scores math/lecture/sciences + variables contexte (80+ pays, cycles 2000-2022)",https://www.oecd.org/en/data/datasets/pisa-2022-database.html
PIAAC – Micro-données internationales (compétences adultes),OCDE / PIAAC,"Compétences adultes (littératie, numératie, résolution de problèmes) + niveau d'études, emploi (30+ pays dont Canada)",https://www.piaacgateway.com/data-files-and-analysis-tools
Table de concordance DEC↔CIP (à construire),EDSC / StatCan / MEQ (compilation maison),Mapping entre codes de programmes collégiaux québécois (DEC) et codes CIP (Classification of Instructional Programs) pour alignement Canada/USA/ISCED,Basé sur: noc.esdc.gc.ca + nces.ed.gov/ipeds + education.gouv.qc.ca
Répères.qc.ca (GRICS),GRICS / Septembre éditeur,"Profils de professions Québec : DPC (Données-Personnes-Choses), CLÉO, salaires, conditions travail, formation requise",https://consultation.reperes.qc.ca/aide/profession/DetailProfession.cf.htm
SIPeC – Système Informatique Professions et Compétences (EDSC),EDSC Canada,Relations pré-calculées NOC↔Compétences↔Capacités : ~50 000 lignes avec niveau (1-5) et importance,https://noc.esdc.gc.ca/Home/LMIDataFiles
CNESST – Statistiques lésions professionnelles par secteur/CNP,"Commission des normes, de l'équité, de la santé et de la sécurité du travail (CNESST)","Accidents, maladies professionnelles, invalidité par secteur et type de profession — Québec",https://www.donneesquebec.ca/recherche/dataset/lesions-professionnelles + https://www.cnesst.gouv.qc.ca/fr/statistiques
SIEP – Système d'information sur les étudiants postsecondaires (StatCan 37-10),Statistique Canada,"Persévérance scolaire CÉGEP et université par programme/CIP : taux 1re→2e année, diplomation dans délais",https://www150.statcan.gc.ca/t1/tbl1/fr/tv.action?pid=3710013601
Enquêtes La Relance – Placement DEC/BAC post-diplôme (MEQ),Ministère de l'Éducation du Québec (MEQ),"Taux de placement emploi 6-12 mois post-diplôme, salaire médian, emploi lié à la formation, par programme DEC et Bac",https://www.education.gouv.qc.ca/references/publications/resultats-des-enquetes-la-relance/
US College Scorecard – Field of Study (FOS) + Salaires CIP6,US Department of Education,"ROI par programme (CIP6) aux USA : salaire médian 1-10 ans post-diplôme, taux remboursement, graduation rates",https://collegescorecard.ed.gov/data/
IPEDS – Completion Rates par CIP (NCES USA),National Center for Education Statistics (NCES),Taux de diplomation 150% temps par domaine CIP aux USA — benchmark international,https://nces.ed.gov/ipeds/use-the-data
LinkSAGE – Job Matching via Graph Neural Networks (LinkedIn),LinkedIn / arXiv,"Article scientifique : architecture GNN industriel pour matching emploi (5B+ nœuds, 2.7B arêtes, 30ms latence)",https://arxiv.org/abs/2402.13430
LinkedIn Economic Graph – Rapports et datasets publics,LinkedIn,"Rapports marché travail : skills trending, Future of Skills, Work Change Report, AI Skills Diffusion Index",https://economicgraph.linkedin.com/
,,,
Compétences essentielles EDSC – 9 types (Référentiel canadien),EDSC / Gouvernement du Canada,"Référentiel officiel des 9 types de compétences essentielles canadiennes : lecture de textes, utilisation de documents, calcul, rédaction, communication orale, travail d'équipe, formation continue, pensée et résolution de problèmes, utilisation des technologies numériques",https://www.canada.ca/fr/emploi-developpement-social/programmes/competences-essentielles.html
LMIC Rapport #16 – Bridging Skills and Occupations (Architecture cartographie),Conseil de l'information sur le marché du travail (CIMT/LMIC),Architecture de cartographie compétences-occupations pour le Canada. Définit la méthodologie de liaison CNP↔compétences à partir de sources hétérogènes,https://lmic-cimt.ca/fr/des-publications/rapport-de-perspectives-de-l-imt-no-16-faire-le-lien-entre-les-competences-et-les-professions-un-court-document-de-reflexion-pour-identifier-les-competences-decoulant-de-la-cnp/
Lightcast Skills Ontology (ex-Burning Glass Technologies),Lightcast (Emsi Burning Glass),Taxonomie de compétences commerciale : 32 000+ compétences extraites de 4 milliards d'offres emploi mondiales. Référencée par LMIC et CIMT dans leurs analyses de déficits de compétences,https://lightcast.io/open-skills
Future Skills Centre (FSC) – Rapport : Mesurer la valeur des compétences au Canada (2023),Future Skills Centre (FSC/CCF),Cadre méthodologique pour mesurer et valoriser les compétences au Canada. Analyse des lacunes dans les données disponibles et recommandations pour un système de données sur les compétences,https://fsc-ccf.ca/wp-content/uploads/2023/05/mesurer-la-valeur-des-competences-au-Canada_2023.pdf
LMIC – Glossaire IMT « Les mots du boulot » (outil interactif),Conseil de l'information sur le marché du travail (CIMT/LMIC),"Glossaire interactif des concepts clés du marché du travail canadien : définitions officielles de compétences, profession, occupation, qualification, certification, etc. Utilisable comme ontologie de base",https://lmic-cimt.ca/fr/ressources-imt/les-mots-du-boulot/
LMIC Rapport #18 – Plateforme longitudinale éducation-marché du travail 2.0,Conseil de l'information sur le marché du travail (CIMT/LMIC),Analyse du potentiel d'une plateforme longitudinale reliant données d'éducation et de marché du travail au Canada. Évalue PLEMT 2.0 et les données nécessaires pour suivre les trajectoires éducation→emploi,https://lmic-cimt.ca/fr/des-publications/rapport-de-perspectives-de-limt-n-18-plateforme-longitudinale-entre-leducation-et-le-marche-du-travail-2-0-potentiel-exponentiel/
LMIC – Compétences pour les milieux de travail de demain (rapport 2018),Conseil de l'information sur le marché du travail (CIMT/LMIC),Analyse des compétences requises dans les milieux de travail canadiens en évolution. Identifie les lacunes de données et propose un cadre pour anticiper les besoins futurs en compétences,https://lmic-cimt.ca/wp-content/uploads/2018/12/Compétences-pour-les-milieux-de-travail-de-demain.pdf
,,,
"SIAI – Système d'information sur les apprentis inscrits (StatCan, enquête 3154)",Statistique Canada,"Données administratives sur les apprentis inscrits : métier (CNP), statut (inscription/certification), Sceau rouge, démographie, durée apprentissage — seule source nationale sur les apprentis",https://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getSurvey&SDDS=3154
"FFT1 – Fichiers des familles T1 (StatCan, enquête 4105)",Statistique Canada,"Fichier administratif dérivé des déclarations T1 de l'ARC : revenus total, d'emploi, travail autonome, transferts, structure familiale, géographie fine — couverture quasi-universelle ~96% population canadienne",https://www23.statcan.gc.ca/imdb/p2SV_f.pl?Function=getSurvey&SDDS=4105
